"key","value","date"
"Teenage Mutant Ninja Turtles (2014)",0,2014-05-16
"Teenage Mutant Ninja Turtles (2014)",0,2014-05-23
"Teenage Mutant Ninja Turtles (2014)",0,2014-05-30
"Teenage Mutant Ninja Turtles (2014)",0,2014-06-06
"Teenage Mutant Ninja Turtles (2014)",0,2014-06-13
"Teenage Mutant Ninja Turtles (2014)",0,2014-06-20
"Teenage Mutant Ninja Turtles (2014)",0,2014-06-27
"Teenage Mutant Ninja Turtles (2014)",0,2014-07-04
"Teenage Mutant Ninja Turtles (2014)",0,2014-07-11
"Teenage Mutant Ninja Turtles (2014)",0,2014-07-18
"Teenage Mutant Ninja Turtles (2014)",0,2014-07-25
"Teenage Mutant Ninja Turtles (2014)",0,2014-08-01
"Teenage Mutant Ninja Turtles (2014)",89242236,2014-08-08
"Teenage Mutant Ninja Turtles (2014)",39567570,2014-08-15
"Teenage Mutant Ninja Turtles (2014)",21846174,2014-08-22
"Teenage Mutant Ninja Turtles (2014)",17490549,2014-08-29
"Teenage Mutant Ninja Turtles (2014)",8094962,2014-09-05
"Teenage Mutant Ninja Turtles (2014)",6126498,2014-09-12
"Teenage Mutant Ninja Turtles (2014)",3364143,2014-09-19
"The Amazing Spider-Man 2",110700722,2014-05-02
"The Amazing Spider-Man 2",44665915,2014-05-09
"The Amazing Spider-Man 2",21734555,2014-05-16
"The Amazing Spider-Man 2",11856105,2014-05-23
"The Amazing Spider-Man 2",5431099,2014-05-30
"The Amazing Spider-Man 2",3043898,2014-06-06
"The Amazing Spider-Man 2",1444911,2014-06-13
"The Amazing Spider-Man 2",985876,2014-06-20
"The Amazing Spider-Man 2",614531,2014-06-27
"The Amazing Spider-Man 2",460403,2014-07-04
"The Amazing Spider-Man 2",344843,2014-07-11
"The Amazing Spider-Man 2",237749,2014-07-18
"The Amazing Spider-Man 2",175905,2014-07-25
"The Amazing Spider-Man 2",119966,2014-08-01
"The Amazing Spider-Man 2",57873,2014-08-08
"The Amazing Spider-Man 2",36868,2014-08-15
"The Amazing Spider-Man 2",0,2014-08-22
"The Amazing Spider-Man 2",0,2014-08-29
"The Amazing Spider-Man 2",0,2014-09-05
"The Amazing Spider-Man 2",0,2014-09-12
"The Amazing Spider-Man 2",0,2014-09-19
"Transformers: Age of Extinction",0,2014-05-02
"Transformers: Age of Extinction",0,2014-05-09
"Transformers: Age of Extinction",0,2014-05-16
"Transformers: Age of Extinction",0,2014-05-23
"Transformers: Age of Extinction",0,2014-05-30
"Transformers: Age of Extinction",0,2014-06-06
"Transformers: Age of Extinction",0,2014-06-13
"Transformers: Age of Extinction",0,2014-06-20
"Transformers: Age of Extinction",138345769,2014-06-27
"Transformers: Age of Extinction",54185529,2014-07-04
"Transformers: Age of Extinction",24625590,2014-07-11
"Transformers: Age of Extinction",14595587,2014-07-18
"Transformers: Age of Extinction",7213440,2014-07-25
"Transformers: Age of Extinction",3337660,2014-08-01
"Transformers: Age of Extinction",833355,2014-08-08
"Transformers: Age of Extinction",302673,2014-08-15
"Transformers: Age of Extinction",511363,2014-08-22
"Transformers: Age of Extinction",547696,2014-08-29
"Transformers: Age of Extinction",305025,2014-09-05
"Transformers: Age of Extinction",348276,2014-09-12
"Transformers: Age of Extinction",136414,2014-09-19
"X-Men: Days of Future Past",0,2014-05-02
"X-Men: Days of Future Past",0,2014-05-09
"X-Men: Days of Future Past",0,2014-05-16
"X-Men: Days of Future Past",129469103,2014-05-23
"X-Men: Days of Future Past",44932163,2014-05-30
"X-Men: Days of Future Past",22038895,2014-06-06
"X-Men: Days of Future Past",14154089,2014-06-13
"X-Men: Days of Future Past",9499222,2014-06-20
"X-Men: Days of Future Past",5126530,2014-06-27
"X-Men: Days of Future Past",2917069,2014-07-04
"X-Men: Days of Future Past",1637591,2014-07-11
"X-Men: Days of Future Past",1103147,2014-07-18
"X-Men: Days of Future Past",631444,2014-07-25
"X-Men: Days of Future Past",290117,2014-08-01
"X-Men: Days of Future Past",440683,2014-08-08
"X-Men: Days of Future Past",363528,2014-08-15
"X-Men: Days of Future Past",210947,2014-08-22
"X-Men: Days of Future Past",691806,2014-08-29
"X-Men: Days of Future Past",206821,2014-09-05
"X-Men: Days of Future Past",97048,2014-09-12
"X-Men: Days of Future Past",56310,2014-09-19
