--- LOG START  --- 
18916;2014-04-11_07-47-01.013;;38.883497;-77.062454;-20.0;9.0;-1.498;4.524;8.135;
18952;2014-04-11_07-47-03.164;;38.883909;-77.062722;-23.0;8.0;-0.041;4.902;8.343;
18981;2014-04-11_07-47-04.938;;38.883909;-77.062722;-23.0;8.0;-0.041;4.902;8.343;
19012;2014-04-11_07-47-06.762;;38.883909;-77.062722;-23.0;8.0;-0.041;4.902;8.343;
19042;2014-04-11_07-47-08.565;;38.884252;-77.062893;-20.0;14.0;-1.349;6.375;7.135;
19072;2014-04-11_07-47-10.367;;38.884252;-77.062893;-20.0;14.0;-1.349;6.375;7.135;
19102;2014-04-11_07-47-12.169;;38.884427;-77.062991;-19.0;13.0;6.346;-1.699;6.982;
19132;2014-04-11_07-47-13.986;;38.884427;-77.062991;-19.0;13.0;6.346;-1.699;6.982;
19162;2014-04-11_07-47-15.774;;38.884583;-77.063099;-18.0;26.0;5.777;-1.968;7.399;
19192;2014-04-11_07-47-17.576;;38.884583;-77.063099;-18.0;26.0;5.777;-1.968;7.399;
19222;2014-04-11_07-47-19.376;;38.886098;-77.060397;0.0;829.0;-0.424;6.943;7.557;
19252;2014-04-11_07-47-21.190;;38.886098;-77.060397;0.0;829.0;-0.424;6.943;7.557;
19282;2014-04-11_07-47-23.080;;38.886098;-77.060397;0.0;829.0;-0.424;6.943;7.557;
19314;2014-04-11_07-47-24.903;;38.886098;-77.060397;0.0;829.0;0.52;5.406;8.012;
19344;2014-04-11_07-47-26.705;;38.886098;-77.060397;0.0;829.0;0.52;5.406;8.012;
19374;2014-04-11_07-47-28.505;;38.886098;-77.060397;0.0;829.0;5.316;2.991;7.31;
19404;2014-04-11_07-47-30.306;;38.886098;-77.060397;0.0;829.0;5.316;2.991;7.31;
19434;2014-04-11_07-47-32.109;;38.886098;-77.060397;0.0;829.0;5.669;0.306;7.769;
19463;2014-04-11_07-47-33.850;;38.886098;-77.060397;0.0;829.0;5.669;0.306;7.769;
